category,title,abstract
math,Generalized spaces for constructive algebra,"The purpose of this contribution is to give a coherent account of a
particular narrative which links locales, geometric theories, sheaf semantics
and constructive commutative algebra. We are hoping to convey a firm grasp of
three ideas: (1) Locales are a kind of space in which opens instead of points
are fundamental. (2) Sheaf semantics allows us to explore mathematical objects
from custom-tailored mathematical universes. (3) Without loss of generality,
any reduced ring is a field."
math,Quantalic spectra of semirings,"Spectrum constructions appear throughout mathematics as a way of constructing
topological spaces from algebraic data. Given a commutative localic semiring R
(the pointfree analogue of a topological semiring), we define a spectrum of R
which generalises the Stone spectrum of a distributive lattice, the Zariski
spectrum of a commutative ring, the Gelfand spectrum of a commutative unital
C*-algebra and the Hofmann-Lawson spectrum of a continuous frame. We then
provide an explicit construction of this spectrum under conditions on R which
are satisfied by our main examples.
  Our results are constructively valid and hence admit interpretation in any
elementary topos with natural number object. For this reason the spectrum we
construct should actually be a locale instead of a topological space.
  A simple modification to our construction gives rise to a quantic spectrum in
the form of a commutative quantale. Such a quantale contains `differential'
information in addition to the purely topological information of the localic
spectrum. In the case of a discrete ring, our construction produces the
quantale of ideals.
  This prompts us to study the quantale of ideals in more detail. We discuss
some results from abstract ideal theory in the setting of quantales and provide
a tentative definition for what it might mean for a quantale to be nonsingular
by analogy to commutative ring theory."
math,Von Neumann coordinatization is not first-order,"A lattice L is coordinatizable, if it is isomorphic to the lattice L(R) of
principal right ideals of some von Neumann regular ring R. This forces L to be
complemented modular. All known sufficient conditions for coordinatizability,
due first to J. von Neumann, then to B. Jonsson, are first-order. Nevertheless,
we prove that coordinatizability of lattices is not first-order, by finding a
non-coordinatizable lattice K with a coordinatizable countable elementary
extension L. This solves a 1960 problem of B. Jonsson. We also prove that there
is no L\_{infinity, infinity} statement equivalent to coordinatizability.
Furthermore, the class of coordinatizable lattices is not closed under
countable directed unions; this solves another problem of B. Jonsson from 1962."
math,Analysis in J_2,"This is an expository paper in which I explain how core mathematics,
particularly abstract analysis, can be developed within a concrete countable
set J_2 (the second set in Jensen's constructible hierarchy). The implication,
well-known to proof theorists but probably not to most mainstream
mathematicians, is that ordinary mathematical practice does not require an
enigmatic metaphysical universe of sets. I go further and argue that J_2 is a
superior setting for normal mathematics because it is free of irrelevant
set-theoretic pathologies and permits stronger formulations of existence
results."
math,The twisting procedure,"This paper provides a conceptual study of the twisting procedure, which
amounts to create functorially new differential graded Lie algebras,
associative algebras or operads (as well as their homotopy versions) from a
Maurer--Cartan element. On the way, we settle the integration theory of
complete pre-Lie algebras in order to describe this twisting procedure in terms
of gauge group action. We give a criterion on quadratic operads for the
existence of a meaningful twisting procedure of their associated categories of
(homotopy) algebras. We also give a new presentation of the twisting procedure
for operads \`a la Willwacher and we perform new homology computations of graph
complexes."
math,Brackets and products from centres in extension categories,"Building on Retakh's approach to Ext groups through categories of extensions,
Schwede reobtained the well-known Gerstenhaber algebra structure on Ext groups
over bimodules of associative algebras both from splicing extensions (leading
to the cup product) and from a suitable loop in the categories of extensions
(leading to the Lie bracket). We show how Schwede's construction admits a vast
generalisation to general monoidal categories with coefficients of the Ext
groups taken in (weak) left and right monoidal (or Drinfel'd) centres. In case
of the category of left modules over bialgebroids and coefficients given by
commuting pairs of braided (co)commutative (co)monoids in these categorical
centres, we provide an explicit description of the algebraic structure obtained
this way, and a complete proof that this leads to a Gerstenhaber algebra is
then obtained from an operadic approach. This, in particular, considerably
generalises the classical construction given by Gerstenhaber himself.
Conjecturally, the algebraic structure we describe should produce a
Gerstenhaber algebra for an arbitrary monoidal category enriched over abelian
groups, but even the bilinearity of the cup product and of the Lie-type bracket
defined by the abstract construction in terms of extension categories remain
elusive in this general setting."
math,Maurer-Cartan methods in deformation theory: the twisting procedure,"This monograph provides an overview on the Maurer-Cartan methods in algebra,
geometry, topology, and mathematical physics. It offers a conceptual,
exhaustive and gentle treatment of the twisting procedure, which functorially
creates new differential graded Lie algebras, associative algebras or operads
(as well as their homotopy versions) from a Maurer-Cartan element. The twisting
procedure for (homotopy) associative algebras or (homotopy) Lie algebras is
described by means of the action of the biggest deformation gauge group ever
considered. We give a criterion on quadratic operads for the existence of a
meaningful twisting procedure of their associated categories of algebras. And,
we introduce the twisting procedure for operads \`a la Willwacher using a new
and simpler presentation, which provides us with a wide source of motivating
examples related to graph homology, both recovering known graph complexes (due
to Kontsevich) and introducing some new ones. This book starts with elementary
surveys on gauge theory and deformation theory using differential graded Lie
algebras in order to ease the way to the theory. It finishes with concise
surveys on the fundamental theorem of deformation theory, higher Lie theory,
rational homotopy theory, simplicial theory of homotopy algebras, and the Floer
cohomology of Lagrangian submanifolds, to illustrate deep examples of
applications."
math,"Notes on A-infinity algebras, A-infinity categories and non-commutative
  geometry. I","We develop geometric approach to A-infinity algebras and A-infinity
categories based on the notion of formal scheme in the category of graded
vector spaces. Geometric approach clarifies several questions, e.g. the notion
of homological unit or A-infinity structure on A-infinity functors. We discuss
Hochschild complexes of A-infinity algebras from geometric point of view. The
paper contains homological versions of the notions of properness and smoothness
of projective varieties as well as the non-commutative version of Hodge-to-de
Rham degeneration conjecture. We also discuss a generalization of Deligne's
conjecture which includes both Hochschild chains and cochains. We conclude the
paper with the description of an action of the PROP of singular chains of the
topological PROP of 2-dimensional surfaces on the Hochschild chain complex of
an A-infinity algebra with the scalar product (this action is more or less
equivalent to the structure of 2-dimensional Topological Field Theory
associated with an ""abstract"" Calabi-Yau manifold)."
math,Gelfand spectra and Wallman compactifications,"We carry out a systematic, topos-theoretically inspired, investigation of
Wallman compactifications with a particular emphasis on their relations with
Gelfand spectra and Stone-Cech compactifications. In addition to proving
several specific results about Wallman bases and maximal spectra of
distributive lattices, we establish a general framework for functorializing the
representation of a topological space as the maximal spectrum of a Wallman base
for it, which allows to generate different dualities between categories of
topological spaces and subcategories of the category of distributive lattices;
in particular, this leads to a categorical equivalence between the category of
commutative C*-algebras and a natural category of distributive lattices. We
also establish a general theorem concerning the representation of the
Stone-Cech compactification of a locale as a Wallman compactification, which
subsumes all the previous results obtained on this problem."
math,Derived categories and syzygies,"We introduce syzygies for derived categories and study their properties.
Using these, we prove the derived invariance of the following classes of artin
algebras: (1) syzygy-finite algebras, (2) Igusa-Todorov algebras, (3) AC
algebras, (4) algebras satisfying the finitistic Auslander conjecture, and (5)
algebras satisfying the generalized Auslander-Reiten conjecture. In particular,
Gorenstein CM-finite algebras are derived invariants."
