category,abstract
0,"['purpose', 'contribution', 'coherent', 'account', 'particular', 'narrative', 'link', 'locale', ',', 'geometric', 'theory', ',', 'sheaf', 'semantics', 'constructive', 'commutative', 'algebra', '.', 'hoping', 'convey', 'firm', 'grasp', 'idea', ':', '(', '1', ')', 'locale', 'kind', 'space', 'open', 'instead', 'point', 'fundamental', '.', '(', '2', ')', 'sheaf', 'semantics', 'allows', 'explore', 'mathematical', 'object', 'custom-tailored', 'mathematical', 'universe', '.', '(', '3', ')', 'loss', 'generality', ',', 'reduced', 'ring', 'field', '.']"
0,"['spectrum', 'construction', 'appear', 'mathematics', 'way', 'constructing', 'topological', 'space', 'algebraic', 'data', '.', 'given', 'commutative', 'localic', 'semiring', 'r', '(', 'the', 'pointfree', 'analogue', 'topological', 'semiring', ')', ',', 'define', 'spectrum', 'r', 'generalises', 'stone', 'spectrum', 'distributive', 'lattice', ',', 'zariski', 'spectrum', 'commutative', 'ring', ',', 'gelfand', 'spectrum', 'commutative', 'unital', 'c', '*', '-algebra', 'hofmann-lawson', 'spectrum', 'continuous', 'frame', '.', 'provide', 'explicit', 'construction', 'spectrum', 'condition', 'r', 'satisfied', 'main', 'example', '.', 'result', 'constructively', 'valid', 'admit', 'interpretation', 'elementary', 'topos', 'natural', 'number', 'object', '.', 'reason', 'spectrum', 'construct', 'actually', 'locale', 'instead', 'topological', 'space', '.', 'simple', 'modification', 'construction', 'give', 'rise', 'quantic', 'spectrum', 'form', 'commutative', 'quantale', '.', 'quantale', 'contains', '`', 'differential', ""'"", 'information', 'addition', 'purely', 'topological', 'information', 'localic', 'spectrum', '.', 'case', 'discrete', 'ring', ',', 'construction', 'produce', 'quantale', 'ideal', '.', 'prompt', 'study', 'quantale', 'ideal', 'detail', '.', 'discus', 'result', 'abstract', 'ideal', 'theory', 'setting', 'quantales', 'provide', 'tentative', 'definition', 'mean', 'quantale', 'nonsingular', 'analogy', 'commutative', 'ring', 'theory', '.']"
0,"['lattice', 'l', 'coordinatizable', ',', 'isomorphic', 'lattice', 'l', '(', 'r', ')', 'principal', 'right', 'ideal', 'von', 'neumann', 'regular', 'ring', 'r.', 'force', 'l', 'complemented', 'modular', '.', 'known', 'sufficient', 'condition', 'coordinatizability', ',', 'j.', 'von', 'neumann', ',', 'b.', 'jonsson', ',', 'first-order', '.', 'nevertheless', ',', 'prove', 'coordinatizability', 'lattice', 'first-order', ',', 'finding', 'non-coordinatizable', 'lattice', 'k', 'coordinatizable', 'countable', 'elementary', 'extension', 'l.', 'solves', '1960', 'problem', 'b.', 'jonsson', '.', 'prove', 'l\\_', '{', 'infinity', ',', 'infinity', '}', 'statement', 'equivalent', 'coordinatizability', '.', 'furthermore', ',', 'class', 'coordinatizable', 'lattice', 'closed', 'countable', 'directed', 'union', ';', 'solves', 'problem', 'b.', 'jonsson', '1962', '.']"
0,"['expository', 'paper', 'explain', 'core', 'mathematics', ',', 'particularly', 'abstract', 'analysis', ',', 'developed', 'concrete', 'countable', 'set', 'j_2', '(', 'the', 'second', 'set', 'jensen', ""'s"", 'constructible', 'hierarchy', ')', '.', 'implication', ',', 'well-known', 'proof', 'theorist', 'probably', 'mainstream', 'mathematician', ',', 'ordinary', 'mathematical', 'practice', 'doe', 'require', 'enigmatic', 'metaphysical', 'universe', 'set', '.', 'argue', 'j_2', 'superior', 'setting', 'normal', 'mathematics', 'free', 'irrelevant', 'set-theoretic', 'pathology', 'permit', 'stronger', 'formulation', 'existence', 'result', '.']"
0,"['paper', 'provides', 'conceptual', 'study', 'twisting', 'procedure', ',', 'amount', 'create', 'functorially', 'new', 'differential', 'graded', 'lie', 'algebra', ',', 'associative', 'algebra', 'operads', '(', 'a', 'homotopy', 'version', ')', 'maurer', '--', 'cartan', 'element', '.', 'way', ',', 'settle', 'integration', 'theory', 'complete', 'pre-lie', 'algebra', 'order', 'twisting', 'procedure', 'term', 'gauge', 'group', 'action', '.', 'criterion', 'quadratic', 'operads', 'existence', 'meaningful', 'twisting', 'procedure', 'associated', 'category', '(', 'homotopy', ')', 'algebra', '.', 'new', 'presentation', 'twisting', 'procedure', 'operads', '\\', '`', 'a', 'la', 'willwacher', 'perform', 'new', 'homology', 'computation', 'graph', 'complex', '.']"
0,"['building', 'retakh', ""'s"", 'approach', 'ext', 'group', 'category', 'extension', ',', 'schwede', 'reobtained', 'well-known', 'gerstenhaber', 'algebra', 'structure', 'ext', 'group', 'bimodules', 'associative', 'algebra', 'splicing', 'extension', '(', 'leading', 'cup', 'product', ')', 'suitable', 'loop', 'category', 'extension', '(', 'leading', 'lie', 'bracket', ')', '.', 'schwede', ""'s"", 'construction', 'admits', 'vast', 'generalisation', 'general', 'monoidal', 'category', 'coefficient', 'ext', 'group', 'taken', '(', 'weak', ')', 'left', 'right', 'monoidal', '(', 'or', 'drinfel', ""'d"", ')', 'centre', '.', 'case', 'category', 'left', 'module', 'bialgebroids', 'coefficient', 'given', 'commuting', 'pair', 'braided', '(', 'co', ')', 'commutative', '(', 'co', ')', 'monoids', 'categorical', 'centre', ',', 'provide', 'explicit', 'description', 'algebraic', 'structure', 'obtained', 'way', ',', 'complete', 'proof', 'lead', 'gerstenhaber', 'algebra', 'obtained', 'operadic', 'approach', '.', 'this', ',', 'particular', ',', 'considerably', 'generalises', 'classical', 'construction', 'given', 'gerstenhaber', 'himself', '.', 'conjecturally', ',', 'algebraic', 'structure', 'produce', 'gerstenhaber', 'algebra', 'arbitrary', 'monoidal', 'category', 'enriched', 'abelian', 'group', ',', 'bilinearity', 'cup', 'product', 'lie-type', 'bracket', 'defined', 'abstract', 'construction', 'term', 'extension', 'category', 'remain', 'elusive', 'general', 'setting', '.']"
0,"['monograph', 'provides', 'overview', 'maurer-cartan', 'method', 'algebra', ',', 'geometry', ',', 'topology', ',', 'mathematical', 'physic', '.', 'offer', 'conceptual', ',', 'exhaustive', 'gentle', 'treatment', 'twisting', 'procedure', ',', 'functorially', 'creates', 'new', 'differential', 'graded', 'lie', 'algebra', ',', 'associative', 'algebra', 'operads', '(', 'a', 'homotopy', 'version', ')', 'maurer-cartan', 'element', '.', 'twisting', 'procedure', '(', 'homotopy', ')', 'associative', 'algebra', '(', 'homotopy', ')', 'lie', 'algebra', 'described', 'mean', 'action', 'biggest', 'deformation', 'gauge', 'group', 'considered', '.', 'criterion', 'quadratic', 'operads', 'existence', 'meaningful', 'twisting', 'procedure', 'associated', 'category', 'algebra', '.', 'and', ',', 'introduce', 'twisting', 'procedure', 'operads', '\\', '`', 'a', 'la', 'willwacher', 'using', 'new', 'simpler', 'presentation', ',', 'provides', 'wide', 'source', 'motivating', 'example', 'related', 'graph', 'homology', ',', 'recovering', 'known', 'graph', 'complex', '(', 'due', 'kontsevich', ')', 'introducing', 'new', 'one', '.', 'book', 'start', 'elementary', 'survey', 'gauge', 'theory', 'deformation', 'theory', 'using', 'differential', 'graded', 'lie', 'algebra', 'order', 'ease', 'way', 'theory', '.', 'finish', 'concise', 'survey', 'fundamental', 'theorem', 'deformation', 'theory', ',', 'higher', 'lie', 'theory', ',', 'rational', 'homotopy', 'theory', ',', 'simplicial', 'theory', 'homotopy', 'algebra', ',', 'floer', 'cohomology', 'lagrangian', 'submanifolds', ',', 'illustrate', 'deep', 'example', 'application', '.']"
0,"['develop', 'geometric', 'approach', 'a-infinity', 'algebra', 'a-infinity', 'category', 'based', 'notion', 'formal', 'scheme', 'category', 'graded', 'vector', 'space', '.', 'geometric', 'approach', 'clarifies', 'question', ',', 'e.g', '.', 'notion', 'homological', 'unit', 'a-infinity', 'structure', 'a-infinity', 'functors', '.', 'discus', 'hochschild', 'complex', 'a-infinity', 'algebra', 'geometric', 'point', 'view', '.', 'paper', 'contains', 'homological', 'version', 'notion', 'properness', 'smoothness', 'projective', 'variety', 'non-commutative', 'version', 'hodge-to-de', 'rham', 'degeneration', 'conjecture', '.', 'discus', 'generalization', 'deligne', ""'s"", 'conjecture', 'includes', 'hochschild', 'chain', 'cochains', '.', 'conclude', 'paper', 'description', 'action', 'prop', 'singular', 'chain', 'topological', 'prop', '2-dimensional', 'surface', 'hochschild', 'chain', 'complex', 'a-infinity', 'algebra', 'scalar', 'product', '(', 'this', 'action', 'equivalent', 'structure', '2-dimensional', 'topological', 'field', 'theory', 'associated', '``', 'abstract', ""''"", 'calabi-yau', 'manifold', ')', '.']"
0,"['carry', 'systematic', ',', 'topos-theoretically', 'inspired', ',', 'investigation', 'wallman', 'compactifications', 'particular', 'emphasis', 'relation', 'gelfand', 'spectrum', 'stone-cech', 'compactifications', '.', 'addition', 'proving', 'specific', 'result', 'wallman', 'base', 'maximal', 'spectrum', 'distributive', 'lattice', ',', 'establish', 'general', 'framework', 'functorializing', 'representation', 'topological', 'space', 'maximal', 'spectrum', 'wallman', 'base', 'it', ',', 'allows', 'generate', 'different', 'duality', 'category', 'topological', 'space', 'subcategories', 'category', 'distributive', 'lattice', ';', 'particular', ',', 'lead', 'categorical', 'equivalence', 'category', 'commutative', 'c', '*', '-algebras', 'natural', 'category', 'distributive', 'lattice', '.', 'establish', 'general', 'theorem', 'concerning', 'representation', 'stone-cech', 'compactification', 'locale', 'wallman', 'compactification', ',', 'subsumes', 'previous', 'result', 'obtained', 'problem', '.']"
0,"['introduce', 'syzygy', 'derived', 'category', 'study', 'property', '.', 'using', 'these', ',', 'prove', 'derived', 'invariance', 'following', 'class', 'artin', 'algebra', ':', '(', '1', ')', 'syzygy-finite', 'algebra', ',', '(', '2', ')', 'igusa-todorov', 'algebra', ',', '(', '3', ')', 'ac', 'algebra', ',', '(', '4', ')', 'algebra', 'satisfying', 'finitistic', 'auslander', 'conjecture', ',', '(', '5', ')', 'algebra', 'satisfying', 'generalized', 'auslander-reiten', 'conjecture', '.', 'particular', ',', 'gorenstein', 'cm-finite', 'algebra', 'derived', 'invariant', '.']"
